y+,U+,uv+,uu+,vv+,ww+,tau_uv/tau_w,tau_nu/tau_w,tau/tau_w,P+,pp+,up+
641.27,21.681,-0.36345,1.5251,0.61155,0.72715,0.36345,0.0048353,0.36829,-0.61108,1.4444,0.25802
647.02,21.709,-0.35777,1.5052,0.60598,0.71818,0.35777,0.0047792,0.36255,-0.60551,1.4192,0.25282
652.79,21.736,-0.35206,1.4854,0.60043,0.7093,0.35206,0.0047246,0.35679,-0.59996,1.3942,0.24761
658.57,21.763,-0.34634,1.4657,0.59491,0.70054,0.34634,0.0046688,0.35101,-0.59445,1.3694,0.24239
664.36,21.79,-0.34061,1.4461,0.58944,0.69189,0.34061,0.0046089,0.34521,-0.58899,1.345,0.23714
670.17,21.817,-0.33485,1.4266,0.58403,0.68336,0.33485,0.0045457,0.3394,-0.58358,1.3208,0.23187
675.98,21.843,-0.32908,1.4073,0.57867,0.6749,0.32908,0.0044819,0.33356,-0.57823,1.2969,0.22659
681.81,21.869,-0.32329,1.3881,0.57339,0.6665,0.32329,0.0044188,0.32771,-0.57295,1.2731,0.22134
687.66,21.895,-0.31748,1.369,0.56817,0.65815,0.31748,0.0043557,0.32183,-0.56774,1.2495,0.21612
693.51,21.92,-0.31165,1.35,0.56301,0.64989,0.31165,0.0042921,0.31594,-0.56259,1.2261,0.21093
699.37,21.945,-0.3058,1.331,0.55792,0.64175,0.3058,0.004228,0.31003,-0.5575,1.203,0.20575
705.25,21.97,-0.29993,1.3121,0.55289,0.63371,0.29993,0.0041644,0.3041,-0.55248,1.1801,0.2006
711.14,21.994,-0.29405,1.2931,0.54792,0.62573,0.29405,0.0041014,0.29815,-0.54752,1.1576,0.19548
717.04,22.018,-0.28816,1.2741,0.54302,0.61777,0.28816,0.0040367,0.29219,-0.54263,1.1355,0.19041
722.95,22.042,-0.28225,1.2553,0.53819,0.60983,0.28225,0.0039688,0.28621,-0.5378,1.1138,0.18539
728.87,22.065,-0.27632,1.2367,0.53343,0.60194,0.27632,0.0038988,0.28022,-0.53304,1.0924,0.18043
734.8,22.088,-0.27038,1.2184,0.52873,0.59414,0.27038,0.0038276,0.2742,-0.52835,1.0715,0.17551
740.74,22.11,-0.26442,1.2003,0.52411,0.58647,0.26442,0.0037562,0.26817,-0.52374,1.0508,0.17064
746.69,22.133,-0.25844,1.1824,0.51958,0.57895,0.25844,0.0036859,0.26213,-0.51921,1.0306,0.16578
752.65,22.154,-0.25245,1.1647,0.51513,0.57157,0.25245,0.0036163,0.25606,-0.51478,1.0108,0.1609
758.62,22.176,-0.24644,1.1473,0.51078,0.56434,0.24644,0.0035474,0.24998,-0.51043,0.99134,0.156
764.6,22.197,-0.24041,1.1301,0.50653,0.55727,0.24041,0.0034792,0.24389,-0.50619,0.97226,0.15107
770.58,22.217,-0.23437,1.1131,0.50239,0.55037,0.23437,0.0034113,0.23779,-0.50205,0.95357,0.14612
776.58,22.238,-0.22832,1.0965,0.49834,0.54364,0.22832,0.0033439,0.23166,-0.49801,0.93524,0.14114
782.59,22.257,-0.22225,1.08,0.49439,0.53706,0.22225,0.0032772,0.22553,-0.49406,0.91728,0.13613
788.6,22.277,-0.21616,1.0638,0.49054,0.53063,0.21616,0.00321,0.21937,-0.49022,0.89964,0.1311
794.62,22.296,-0.21006,1.0478,0.48679,0.52436,0.21006,0.0031409,0.2132,-0.48648,0.88231,0.12604
800.65,22.315,-0.20395,1.0319,0.48314,0.51823,0.20395,0.0030691,0.20702,-0.48283,0.86528,0.12098
806.68,22.333,-0.19782,1.0163,0.47958,0.51222,0.19782,0.0029946,0.20081,-0.47928,0.84857,0.11594
